elevatorAddress,unloadCapacity,lat,loadCapacity,odhiRegion,propertyTypeCategory,cert,transportTypes,shortName,propertyType,capacity,lng,fullName
"07805, вул. Привокзальна, буд. 42, смт. Бородянка, Київська обл.",330,50.6438889,270,Київська,Інші,5524,"train,autocar","Бородянське ХПП, ТОВ",Приватний,5240,29.9338889,"Товариство з обмеженою відповідальністю ""Бородянське хлібоприймальне підприємство"""
"51200, вул. Тургенєва, буд. 16, м. Новомосковськ, Дніпропетровська обл.",300,48.63181,400,Дніпропетровська,Власники 6+,5525,"train,autocar","Полтавське ХПП, ПрАТ (Новомосковська дільниця)",Кернелл,10000,35.204753,"Приватне акціонерне товариство ""Полтавське хлібоприймальне підприємство"""
"72200, вул. Чапаєва, буд. 1а, смт. Веселе, Запорізька обл.",600,47.0159935,700,Запорізька,Інші,5526,"train,autocar","Таврія-Агропром, ТОВ",Приватний,32000,34.9123809,"Товариство з обмеженою відповідальністю ""ТАВРІЯ-АГРОПРОМ"""
"37650, вул. Гарбузенка, буд. 2, смт. Ромодан, Миргородський р-н., Полтавська обл.",6000,49.9948749,6000,Полтавська,Власники 6+,5527,"train,autocar","НІБУЛОН СП, ТОВ (філія Ромодан)",Нібулон,77128,33.3307307,"Товариство з обмеженою відповідальністю сільськогосподарське підприємство ""НІБУЛОН"""
"38100, вул. Фрунзе, буд. 146, м. Зіньків, Полтавська обл.",200,50.2085210,300,Полтавська,Інші,5528,autocar,"Зіньківський ККЗ, ТДВ",Приватний,11200,34.3683220,"Товариство з додатковою відповідальністю ""Зіньківський комбікормовий завод"""
"24032, вул. Леніна, буд. 169, смт. Шпиків, Тульчинський р-н., Вінницька обл.",1000,48.7883930,1000,Вінницька,Власники 6+,5529,autocar,Елеваторна компанія Кусто ТОВ,Кусто,42000,28.5701880,"Товариство з обмеженою відповідальністю ""Елеваторна компанія ""Кусто-Агро"""
"26533, вул. Леніна, буд. 2, с-ще. Ємилівка, Голованівський р-н., Кіровоградська обл.",800,48.3769444,1000,Кіровоградська,Інші,5530,"train,autocar","Ємилівське ХПП, ТОВ",Приватний,60000,30.6050000,"Товариство з обмеженою відповідальністю ""Ємилівське хлібоприймальне підприємство"""
"23800, вул. І. Франка, буд. 79, смт. Теплик, Вінницька обл.",1000,48.6594444,1000,Вінницька,Інші,5532,autocar,"Теплицький КХП, ТОВ",Приватний,20000,29.7538889,"Товариство з обмеженою відповідальністю ""Теплицький комбінат хлібопродуктів"""
"39075, вул. Жовтнева, буд. 104, с. Погреби, Глобинський р-н., Полтавська обл. ",500,49.2503006,1000,Полтавська,Інші,5533,"train,autocar","Агрофірма Мічуріна, ТОВ",Приватний,40800,33.3181109,"Товариство з обмеженою відповідальністю ""Агрофірма Мічуріна"""
"19741, вул. Шевченка, буд. 67, с. Вознесенське, Золотоніський р-н., Черкаська обл.",780,49.7586111,2000,Черкаська,Державні,5534,"train,autocar","Златодар, ДП ДАРУ (с. Вознесенське)",ДАРУ,36500,32.1622222,"Державне підприємство ""Златодар"" "
"19200, вул. Вокзальна, буд. 1, м. Жашків, Черкаська обл.",4600,49.2436910,3020,Черкаська,Інші,5535,"train,autocar","Жашківський елеватор, ПАТ",Приватний,93600,30.1221870,"Публічне акціонерне товариство ""Жашківський елеватор"""
"20400, вул. Вокзальна, буд. 93, м. Тальне, Черкаська обл.",1300,48.8862210,1700,Черкаська,Державні,5536,"train,autocar","Тальнівський КХП, ДП ДАК Хліб України",ДАК,43500,30.7065050,"Дочірнє підприємство Державної акціонерної компанії ""Хліб України"" ""Тальнівський комбінат хлібопродуктів"""
